Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
264140,Kelimutu,16263,Confirmed Eruption,Tiwu Nua Muri,1,,,1968,,6,,3,,Historical Observations,,1968,,7,,29,,-8.77,121.82
265060,Nila,16382,Confirmed Eruption,East flank,1,,,1968,,5,,7,,Historical Observations,,1968,,6,,16,15,-6.73,129.5
273030,Mayon,16803,Confirmed Eruption,,3,,,1968,,4,,21,,Historical Observations,,1968,,5,,20,,13.257,123.685
251050,Long Island,14962,Confirmed Eruption,Motmot,2,,,1968,,3,,16,,Historical Observations,,1968,,6,,12,,-5.358,147.12
284130,Fukutoku-Oka-no-Ba,17594,Uncertain Eruption,,0,,,1968,,2,,9,,,,1968,,2,,9,,24.285,141.481
261170,Kerinci,15518,Confirmed Eruption,,2,,,1968,,2,,3,,Historical Observations,,1968,,3,,18,,-1.697,101.264
273070,Taal,16856,Confirmed Eruption,SW flank (near Mt. Tabaro),2,,,1968,,1,,31,,Historical Observations,,1968,,4,,2,,14.002,120.993
264010,Batur,16197,Confirmed Eruption,SW flank (Batur III),2,,,1968,,1,,23,,Historical Observations,,1968,,2,,15,,-8.242,115.375
284010,Izu-Oshima,18235,Confirmed Eruption,Mihara-yama,1,,,1968,,1,,19,,Historical Observations,,1968,,1,,19,,34.724,139.394
261160,Talang,15491,Confirmed Eruption,NE flank,1,,,1968,,1,,14,,Historical Observations,,1968,,1,?,14,,-0.979,100.681
284120,Ioto,18409,Confirmed Eruption,West side (Asodai),1,,,1967,,12,,23,,Historical Observations,,1967,,12,,23,,24.751,141.289
263280,Kelut,15424,Confirmed Eruption,Crater floor at foot of Kelut Peak,1,,,1967,,12,,11,,Historical Observations,,1967,,12,,11,,-7.93,112.308
313030,Redoubt,20389,Confirmed Eruption,North end of summit crater (2300 m),3,,,1967,,12,,6,,Historical Observations,,1968,,4,>,28,,60.485,-152.742
267020,Karangetang,16525,Confirmed Eruption,,2,,,1967,,11,,29,,Historical Observations,,1967,,12,,2,,2.781,125.407
282020,Io-Torishima,16919,Confirmed Eruption,,1,,,1967,,11,,25,5,Historical Observations,,,,,,,,27.881,128.223
332010,Kilauea,10101,Confirmed Eruption,Halemaumau,0,,,1967,,11,,5,,Historical Observations,,1968,,7,,13,,19.421,-155.287
261170,Kerinci,15517,Confirmed Eruption,,2,,,1967,,11,,2,,Historical Observations,,,,,,,,-1.697,101.264
261160,Talang,15490,Confirmed Eruption,NE flank (200 m below summit),1,,,1967,,10,,10,,Historical Observations,,1967,,10,,10,,-0.979,100.681
312160,Trident,20235,Confirmed Eruption,SW flank,3,,,1967,,9,,5,,Historical Observations,,1968,,2,,25,,58.236,-155.1
263300,Semeru,16007,Confirmed Eruption,Jonggring Seloko,3,,,1967,,8,,31,,Historical Observations,,2009,,3,,15,,-8.108,112.922
273070,Taal,16855,Confirmed Eruption,SW flank (near Mt. Tabaro),1,,,1967,,8,,16,,Historical Observations,,1967,,8,,19,,14.002,120.993
257020,Gaua,15221,Confirmed Eruption,Mt. Garat,2,,,1967,,7,,16,15,Historical Observations,,,,,,,,-14.27,167.5
257040,Ambrym,15274,Confirmed Eruption,"Marum, Benbow, Mbuelesu",2,,,1967,,7,,16,15,Historical Observations,,1970,,8,,29,,-16.25,168.12
263090,Tangkuban Parahu,15681,Confirmed Eruption,Kawah Ecoma,1,,,1967,,7,,16,15,Historical Observations,,1967,,7,,16,15,-6.77,107.6
264040,Tambora,16234,Confirmed Eruption,NE part of caldera floor,0,,,1967,20,7,,2,182,Historical Observations,,,,,,,,-8.25,118
284130,Fukutoku-Oka-no-Ba,17593,Uncertain Eruption,,0,,,1967,,7,,1,,,,1967,,7,,1,,24.285,141.481
284010,Izu-Oshima,18234,Confirmed Eruption,Mihara-yama,1,,,1967,,5,,16,15,Historical Observations,,1967,,8,,16,15,34.724,139.394
282110,Asosan,17334,Confirmed Eruption,Naka-dake,1,,,1967,,5,,16,15,Historical Observations,,1969,,12,,16,15,32.884,131.104
263180,Slamet,13402,Confirmed Eruption,,2,,,1967,,5,,7,,Historical Observations,,1967,,7,,16,15,-7.242,109.208
261140,Marapi,15464,Confirmed Eruption,"Crater C, Bungsu Crater",1,,,1967,,4,,16,15,Historical Observations,,1967,,7,,16,15,-0.38,100.474
284140,Farallon de Pajaros,18494,Confirmed Eruption,SW of Uracas (Makhahnas seamount),0,,,1967,,3,,27,,Hydrophonic,,1967,,4,,10,,20.546,144.893
263280,Kelut,15423,Confirmed Eruption,,1,,,1967,,2,,18,,Historical Observations,,1967,,2,,18,,-7.93,112.308
311360,Shishaldin,20084,Confirmed Eruption,,2,,,1967,,1,,28,,Historical Observations,,,,,,,,54.756,-163.97
257050,Lopevi,15307,Confirmed Eruption,Summit and NW flank,3,,,1967,,1,,27,,Historical Observations,,1969,,3,,31,,-16.507,168.346
252120,Ulawun,15050,Confirmed Eruption,,2,,,1967,,1,,22,,Historical Observations,,1967,,12,,28,,-5.05,151.33
252010,Langila,14993,Confirmed Eruption,"Crater 2, Crater 3",2,,,1967,,1,,19,,Historical Observations,,1968,,6,,16,15,-5.525,148.42
263250,Merapi,15914,Confirmed Eruption,Upper Batang breach (2600 m),2,,,1967,,1,,12,,Historical Observations,?,1970,,7,,2,182,-7.54,110.446
282050,Kuchinoerabujima,16973,Confirmed Eruption,Shindake,2,,,1966,,11,,22,,Historical Observations,,1966,,11,,22,,30.443,130.217
313030,Redoubt,20388,Confirmed Eruption,North end of summit crater (2300 m),3,,,1966,,10,,7,,Historical Observations,,1967,,1,,15,,60.485,-152.742
266100,Lokon-Empung,16451,Confirmed Eruption,Tompaluan,2,,,1966,,9,,24,,Historical Observations,,1966,,9,?,30,,1.358,124.792
267040,Awu,16567,Confirmed Eruption,,4,,,1966,,8,,12,,Historical Observations,,1966,,10,,16,15,3.689,125.447
