"","Volcano.Name","Longitude","Latitude","Elevation..m.","wind_north","wind_south","wind_east","wind_west","grid_north","grid_south","grid_east","grid_west"
"389","Kelut",112.308,-7.93,1731,-7.68,-8.18,112.56,112.06,-2.93,-12.93,117.308,107.308
"391","Arjuno-Welirang",112.575,-7.733,3339,-7.48,-7.98,112.83,112.33,-2.733,-12.733,117.575,107.575
"393","Semeru",112.922,-8.108,3657,-7.86,-8.36,113.17,112.67,-3.108,-13.108,117.922,107.922
"394","Tengger Caldera",112.95,-7.942,2329,-7.69,-8.19,113.2,112.7,-2.942,-12.942,117.95,107.95
"395","Lamongan",113.341,-7.981,1641,-7.73,-8.23,113.59,113.09,-2.981,-12.981,118.341,108.341
"397","Raung",114.056,-8.119,3260,-7.87,-8.37,114.31,113.81,-3.119,-13.119,119.056,109.056
"398","Ijen",114.242,-8.058,2769,-7.81,-8.31,114.49,113.99,-3.058,-13.058,119.242,109.242
"401","Batur",115.375,-8.242,1717,-7.99,-8.49,115.62,115.12,-3.242,-13.242,120.375,110.375
"402","Agung",115.508,-8.343,2997,-8.09,-8.59,115.76,115.26,-3.343,-13.343,120.508,110.508
"403","Rinjani",116.47,-8.42,3726,-8.17,-8.67,116.72,116.22,-3.42,-13.42,121.47,111.47
"404","Tambora",118,-8.25,2850,-8,-8.5,118.25,117.75,-3.25,-13.25,123,113
"405","Sangeang Api",119.07,-8.2,1912,-7.95,-8.45,119.32,118.82,-3.2,-13.2,124.07,114.07
"407","Ranakah",120.52,-8.62,2350,-8.37,-8.87,120.77,120.27,-3.62,-13.62,125.52,115.52
"409","Inielika",120.98,-8.73,1559,-8.48,-8.98,121.23,120.73,-3.73,-13.73,125.98,115.98
"410","Ebulobo",121.191,-8.817,2096,-8.57,-9.07,121.44,120.94,-3.817,-13.817,126.191,116.191
"411","Iya",121.641,-8.891,618,-8.64,-9.14,121.89,121.39,-3.891,-13.891,126.641,116.641
"412","Kelimutu",121.82,-8.77,1639,-8.52,-9.02,122.07,121.57,-3.77,-13.77,126.82,116.82
"413","Paluweh",121.708,-8.32,875,-8.07,-8.57,121.96,121.46,-3.32,-13.32,126.708,116.708
"414","Egon",122.455,-8.676,1661,-8.43,-8.93,122.7,122.2,-3.676,-13.676,127.455,117.455
"416","Lewotobi",122.775,-8.542,1703,-8.29,-8.79,123.03,122.53,-3.542,-13.542,127.775,117.775
"417","Leroboleng",122.833,-8.365,1095,-8.12,-8.62,123.08,122.58,-3.365,-13.365,127.833,117.833
"418","Iliboleng",123.258,-8.342,1659,-8.09,-8.59,123.51,123.01,-3.342,-13.342,128.258,118.258
"419","Lewotolok",123.508,-8.274,1431,-8.02,-8.52,123.76,123.26,-3.274,-13.274,128.508,118.508
"421","Iliwerung",123.57,-8.53,1018,-8.28,-8.78,123.82,123.32,-3.53,-13.53,128.57,118.57
"422","Tara, Batu",123.585,-7.791,633,-7.54,-8.04,123.83,123.33,-2.791,-12.791,128.585,118.585
"423","Sirung",124.13,-8.508,862,-8.26,-8.76,124.38,123.88,-3.508,-13.508,129.13,119.13
"424","Gunungapi Wetar",126.65,-6.642,282,-6.39,-6.89,126.9,126.4,-1.642,-11.642,131.65,121.65
"425","Wurlali",128.675,-7.125,868,-6.88,-7.38,128.93,128.43,-2.125,-12.125,133.675,123.675
"426","Teon",129.144,-6.976,728,-6.73,-7.23,129.39,128.89,-1.976,-11.976,134.144,124.144
"427","Nila",129.5,-6.73,781,-6.48,-6.98,129.75,129.25,-1.73,-11.73,134.5,124.5
"428","Serua",130.017,-6.312,608,-6.06,-6.56,130.27,129.77,-1.312,-11.312,135.017,125.017
"430","Banda Api",129.881,-4.523,596,-4.27,-4.77,130.13,129.63,0.477,-9.523,134.881,124.881
"431","Colo",121.601,-0.162,404,0.09,-0.41,121.85,121.35,4.838,-5.162,126.601,116.601
"433","Soputan",124.737,1.112,1785,1.36,0.86,124.99,124.49,6.112,-3.888,129.737,119.737
"436","Lokon-Empung",124.792,1.358,1580,1.61,1.11,125.04,124.54,6.358,-3.642,129.792,119.792
"437","Mahawu",124.865,1.352,1299,1.6,1.1,125.11,124.61,6.352,-3.648,129.865,119.865
"439","Tangkoko-Duasudara",125.185,1.518,1334,1.77,1.27,125.44,124.94,6.518,-3.482,130.185,120.185
"440","Ruang",125.37,2.3,725,2.55,2.05,125.62,125.12,7.3,-2.7,130.37,120.37
"441","Karangetang",125.407,2.781,1797,3.03,2.53,125.66,125.16,7.781,-2.219,130.407,120.407
"443","Awu",125.447,3.689,1318,3.94,3.44,125.7,125.2,8.689,-1.311,130.447,120.447
"445","Dukono",127.894,1.693,1229,1.94,1.44,128.14,127.64,6.693,-3.307,132.894,122.894
"447","Ibu",127.63,1.488,1325,1.74,1.24,127.88,127.38,6.488,-3.512,132.63,122.63
"448","Gamkonora",127.53,1.38,1635,1.63,1.13,127.78,127.28,6.38,-3.62,132.53,122.53
"452","Gamalama",127.33,0.8,1715,1.05,0.55,127.58,127.08,5.8,-4.2,132.33,122.33
"456","Makian",127.4,0.32,1357,0.57,0.07,127.65,127.15,5.32,-4.68,132.4,122.4
