"","run_name","out_name","grid_pth","wind_pth","volcano_name","vent_easting","vent_northing","vent_zone","vent_ht","min_ht","max_ht","min_mass","max_mass","min_dur","max_dur","constrain","nb_wind","wind_start","wind_per_day","seasonality","wind_start_rainy","wind_start_dry","constrain_eruption_date","eruption_date","constrain_wind_dir","min_wind_dir","max_wind_dir","trop_height","max_phi","min_phi","min_med_phi","max_med_phi","min_std_phi","max_std_phi","min_agg","max_agg","max_diam","long_lasting","ht_sample","mass_sample","nb_runs","write_conf","write_gs","write_fig_sep","write_fig_all","write_log_sep","write_log_all","par","par_cpu","eddy_const","diff_coeff","ft_thresh","lithic_dens","pumice_dens","col_step","part_step","alpha","beta"
"15","265090VEI2","265090VEI2OUT",NA,NA,"Banda Api","597733.806509375","9500002.92826034","-52","596","1596","5596","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"16","264010VEI2","264010VEI2OUT",NA,NA,"Batur","321010.341970031","9088584.57850414","-50","1717","2717","6717","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"17","272080VEI2","272080VEI2OUT",NA,NA,"Biliran","667405.294230407","1274256.83229563","51","1301","2301","6301","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"18","255011VEI2","255011VEI2OUT",NA,NA,"Billy Mitchell","746258.810646158","9326117.89886567","-56","1544","2544","6544","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"19","273010VEI2","273010VEI2OUT",NA,NA,"Bulusan","614624.958759627","1411824.01316569","51","1535","2535","6535","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"20","272050VEI2","272050VEI2OUT",NA,NA,"Cabalían","742925.2234078","1137763.19409388","51","912","1912","5912","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"21","273090VEI2","273090VEI2OUT",NA,NA,"Cagua","407272.416779399","2014968.96758793","51","1133","2133","6133","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"22","271080VEI2","271080VEI2OUT",NA,NA,"Camiguin","683807.389733536","1017724.69157053","51","1552","2552","6552","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"23","274010VEI2","274010VEI2OUT",NA,NA,"Camiguin de Babuyanes","379887.48519764","2082403.21053808","51","712","1712","5712","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"24","263170VEI2","263170VEI2OUT",NA,NA,"Cereme","213551.876772889","9237080.25213422","-49","3039","4039","8039","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"25","266010VEI2","266010VEI2OUT",NA,NA,"Colo","344311.36985867","9982088.75703747","-51","404","1404","5404","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"26","252040VEI2","252040VEI2OUT",NA,NA,"Dakataua","177766.70944784","9436219.03263786","-56","408","1408","5408","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"27","261230VEI2","261230VEI2OUT",NA,NA,"Dempo","291387.043662933","9555864.40789698","-48","3142","4142","8142","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"28","274020VEI2","274020VEI2OUT",NA,NA,"Didicas","416047.145440058","2109538.45773807","51","228","1228","5228","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"29","263200VEI2","263200VEI2OUT",NA,NA,"Dieng Volcanic Complex","376230.165016508","9203989.96664881","-49","2565","3565","7565","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"30","268010VEI2","268010VEI2OUT",NA,NA,"Dukono","376975.575929204","187162.998598666","52","1229","2229","6229","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"31","264100VEI2","264100VEI2OUT",NA,NA,"Ebulobo","301034.959676837","9024898.12939755","-51","2096","3096","7096","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
"32","264160VEI2","264160VEI2OUT",NA,NA,"Egon","440043.659074207","9040925.03349236","-51","1661","2661","6661","4.5e+08","1.8e+09","1","6","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","4900","5000","2900","1000","50","50","3","1.5"
