"","volcano_name","volcano_number","min_easting","max_easting","min_northing","max_northing","NW_zone","NE_zone","SW_zone","SE_zone","vent_zone","resolution","mean_elevation","grid_name","zone_crossing","equator_crossing"
"96","Parker","271011","815937.289687157","599242.698532107","123035.103307273","1230011.75298164","50","52","50","52","51","10000","42","271011_grid","1","0"
"97","PerbaktiGagak","263040","794288.183079318","577858.333700421","8699677.80321906","9806557.29046826","-47","-49","-47","-49","-48","10000","53","263040_grid","1","0"
"98","PeuetSague","261030","309580.314702746","754776.26595969","9989269.96602278","1095550.48467697","46","47","-46","-47","47","10000","70","261030_grid","1","1"
"99","Pinatubo","273083","319216.148965147","757514.61434732","1120243.73882859","2227601.78586891","50","51","50","51","51","10000","42","273083_grid","1","0"
"100","Rabaul","252140","522295.730007529","302602.868004436","8974687.7689532","80616.3570623778","55","57","-55","-57","-56","10000","39","252140_grid","1","1"
"101","Ragang","271060","772273.933161692","556355.346670078","297450.255855017","1404274.24544001","50","52","50","52","51","10000","42","271060_grid","1","0"
"102","Ranakah","264071","335621.195940204","779947.302405434","8492886.53334676","9599741.82304597","-50","-51","-50","-51","-51","10000","31","264071_grid","1","0"
"103","Raung","263340","283958.280888202","728493.770270431","8548796.47100287","9655053.89469805","-49","-50","-49","-50","-50","10000","29","263340_grid","1","0"
"104","Rinjani","264030","550880.884974013","334350.464064409","8515903.90179066","9621969.96325468","-49","-51","-49","-51","-50","10000","33","264030_grid","1","0"
"105","RitterIsland","251070","731466.628147013","512796.107916162","8836423.93961646","9942634.77399141","-54","-56","-54","-56","-55","10000","179","251070_grid","1","0"
"106","Ruang","267010","207566.612874904","652293.141043687","9701250.32662007","807760.361230005","51","52","-51","-52","51","10000","50","267010_grid","1","1"
"107","Salak","263050","797592.530892153","581196.5764536","8702966.96331157","9809872.22108779","-47","-49","-47","-49","-48","10000","52","263050_grid","1","0"
"108","SanPabloVolcanicField","273060","423083.902860084","215946.479649921","1008193.56198504","2116298.64820752","50","52","50","52","51","10000","47","273060_grid","1","0"
"109","SangeangApi","264050","174327.287500946","618886.714982194","8538891.28445563","9646238.18853918","-50","-51","-50","-51","-50","10000","37","264050_grid","1","0"
"110","Savo","255070","696461.52758046","480572.608410249","8437134.33796411","9543500.71853687","-56","-58","-56","-58","-57","10000","8","255070_grid","1","0"
