"","run_name","out_name","grid_pth","wind_pth","volcano_name","vent_easting","vent_northing","vent_zone","vent_ht","min_ht","max_ht","min_mass","max_mass","min_dur","max_dur","constrain","nb_wind","wind_start","wind_per_day","seasonality","wind_start_rainy","wind_start_dry","constrain_eruption_date","eruption_date","constrain_wind_dir","min_wind_dir","max_wind_dir","trop_height","max_phi","min_phi","min_med_phi","max_med_phi","min_std_phi","max_std_phi","min_agg","max_agg","max_diam","long_lasting","ht_sample","mass_sample","nb_runs","write_conf","write_gs","write_fig_sep","write_fig_all","write_log_sep","write_log_all","par","par_cpu","eddy_const","diff_coeff","ft_thresh","lithic_dens","pumice_dens","col_step","part_step","alpha","beta"
"15","265090VEI7","265090VEI7OUT",NA,NA,"Banda Api","597733.806509375","9500002.92826034","-52","596","37000","45000","1.2e+14","1.9e+15","12","24","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","1.35","1.35","1.2","1.2","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","8000","9700","2900","1000","50","50","3","1.5"
"16","264010VEI7","264010VEI7OUT",NA,NA,"Batur","321010.341970031","9088584.57850414","-50","1717","37000","45000","1.2e+14","1.9e+15","12","24","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","1.35","1.35","1.2","1.2","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","8000","9700","2900","1000","50","50","3","1.5"
"17","272080VEI7","272080VEI7OUT",NA,NA,"Biliran","667405.294230407","1274256.83229563","51","1301","37000","45000","1.2e+14","1.9e+15","12","24","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","1.35","1.35","1.2","1.2","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","8000","9700","2900","1000","50","50","3","1.5"
"18","255011VEI7","255011VEI7OUT",NA,NA,"Billy Mitchell","746258.810646158","9326117.89886567","-56","1544","37000","45000","1.2e+14","1.9e+15","12","24","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","1.35","1.35","1.2","1.2","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","8000","9700","2900","1000","50","50","3","1.5"
"19","273010VEI7","273010VEI7OUT",NA,NA,"Bulusan","614624.958759627","1411824.01316569","51","1535","37000","45000","1.2e+14","1.9e+15","12","24","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","1.35","1.35","1.2","1.2","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","8000","9700","2900","1000","50","50","3","1.5"
"20","272050VEI7","272050VEI7OUT",NA,NA,"Cabalían","742925.2234078","1137763.19409388","51","912","37000","45000","1.2e+14","1.9e+15","12","24","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","1.35","1.35","1.2","1.2","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","8000","9700","2900","1000","50","50","3","1.5"
"21","273090VEI7","273090VEI7OUT",NA,NA,"Cagua","407272.416779399","2014968.96758793","51","1133","37000","45000","1.2e+14","1.9e+15","12","24","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","1.35","1.35","1.2","1.2","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","8000","9700","2900","1000","50","50","3","1.5"
"22","271080VEI7","271080VEI7OUT",NA,NA,"Camiguin","683807.389733536","1017724.69157053","51","1552","37000","45000","1.2e+14","1.9e+15","12","24","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","1.35","1.35","1.2","1.2","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","8000","9700","2900","1000","50","50","3","1.5"
"23","274010VEI7","274010VEI7OUT",NA,NA,"Camiguin de Babuyanes","379887.48519764","2082403.21053808","51","712","37000","45000","1.2e+14","1.9e+15","12","24","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","1.35","1.35","1.2","1.2","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","8000","9700","2900","1000","50","50","3","1.5"
"24","263170VEI7","263170VEI7OUT",NA,NA,"Cereme","213551.876772889","9237080.25213422","-49","3039","37000","45000","1.2e+14","1.9e+15","12","24","1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","1.35","1.35","1.2","1.2","0","0","0","0","1",NA,"10000","1","0","0","0","0","0",NA,NA,"0.04","8000","9700","2900","1000","50","50","3","1.5"
