Record #-1: [1, 294.270940172, 2626.29673663]
(148.3906759894055, 6.45198694034508)
(148.39771862981104, 6.448906319870787)
(148.41727653078738, 6.450922828325929)
(148.42211431952035, 6.451551035352054)
(148.43181246277504, 6.452783644349779)
(148.4366607915623, 6.453386478802997)
(148.45608926570708, 6.455748460023472)
(148.4609432485322, 6.456325153882801)
(148.4706591408068, 6.457452717568913)
(148.475513825103, 6.458002762717399)
(148.51443738078058, 6.46230485768308)
(148.51927957079567, 6.462826661421332)
(148.52897620318925, 6.463845041115803)
(148.53382340332746, 6.4643408445543855)
(148.55323682012317, 6.466273297874466)
(148.55805321668265, 6.4667396116437885)
(148.56769318908948, 6.467646769482883)
(148.57244239370152, 6.468080989146358)
(149.15425816638128, 6.519434163855635)
(149.1590377087233, 6.5198408201977145)
(149.1687429404344, 6.520640510850967)
(149.17359420640753, 6.521027036768373)
(149.1931569160589, 6.522532302224022)
(149.19804386443286, 6.522894904376358)
(149.20782446023077, 6.523593828692299)
(149.2127108096562, 6.523929642738892)
(149.2520089653416, 6.526521948429206)
(149.25691280837952, 6.526831858403568)
(149.26673178634292, 6.527425478403131)
(149.2716396673369, 6.527708735170052)
(149.29129330744024, 6.5287890071070365)
(149.29620014432123, 6.529045234749844)
(149.3060201969746, 6.529531138451318)
(149.31092120534936, 6.529760249735773)
(149.38973889833153, 6.5332247782009745)
(149.39465002048212, 6.533426921515286)
(149.4044929518883, 6.533805131401721)
(149.40941257263216, 6.533980688058364)
(149.42912155701435, 6.534629853784793)
(149.43404445218982, 6.534778472148844)
(149.44389586780017, 6.535048893791441)
(149.4488170515657, 6.535170508212445)
(149.48826417005546, 6.536036368283817)
(149.49318844029438, 6.536130846561377)
(149.5030471161316, 6.536293006017445)
(149.50797418236266, 6.536360553197028)
(149.5277025183566, 6.536576818565379)
(149.53263240666035, 6.536617310540521)
(149.5424971781024, 6.536671308534096)
(149.54742963936644, 6.536684787572938)
(149.5522604502596, 6.536671858919192)
(149.5619218580074, 6.536620064264582)
(149.56675005816874, 6.536581224344104)
(149.58607169015647, 6.536373784922262)
(149.5908972544048, 6.536308993265493)
(149.60055269245288, 6.5361534510209935)
(149.60537539595782, 6.536062829036382)
(149.6440096846992, 6.535232301529561)
(149.64882945461568, 6.535115649567615)
(149.6584778653613, 6.534856264405107)
(149.66329933589566, 6.534713711068946)
(149.6826023950846, 6.534091033974107)
(149.68742065413994, 6.533922643115545)
(149.69706096379252, 6.533559864696031)
(149.70187107049355, 6.533365965466999)
(149.77906774358155, 6.530042743877573)
(149.78386767355437, 6.529822990938328)
(149.79348539403577, 6.529356928979155)
(149.79829125593676, 6.5291111595524285)
(149.81754014985813, 6.5280749984624435)
(149.8223469569466, 6.5278033096750505)
(149.83196380688423, 6.527233932699858)
(149.83676671451235, 6.526936678884681)
(149.87525670883008, 6.524450214405931)
(149.88004222986513, 6.524128137503567)
(149.88962113290904, 6.523457799937546)
(149.89440740038128, 6.523110024008474)
(149.91356690348982, 6.521666336032638)
(149.91831743729995, 6.521295684048653)
(149.9278212757314, 6.520528838435212)
(149.93250017854052, 6.520139015603149)
(150.5142900993087, 6.4698501075964145)
(150.5191414021541, 6.469415138797672)
(150.52898545321614, 6.468505644519951)
(150.53390375825188, 6.468037614844093)
(150.55372506256163, 6.466096295108002)
(150.55867425121573, 6.465597704670358)
(150.56857459534137, 6.464572665496178)
(150.57351837187548, 6.46404699467314)
(150.6132563257189, 6.459709547357761)
(150.61821255696395, 6.459154532555658)
(150.62813169512174, 6.458015903611113)
(150.63308727166032, 6.457433115945605)
(150.65292205860624, 6.455044533678347)
(150.6578717104112, 6.454434509145301)
(150.66777261481434, 6.453186388640972)
(150.67271156108973, 6.452549884469647)
(150.75209616510597, 6.442090925555817)
(150.75702738800362, 6.441427052316669)
(150.76690566906143, 6.4400693458237015)
(150.77184045597232, 6.439377157429931)
(150.79160090945447, 6.436549403831975)
(150.796534237665, 6.4358294344808655)
(150.8064016971806, 6.434361436930828)
(150.81132848462198, 6.433614513998691)
(150.85080074186078, 6.427517409101199)
(150.85569066968867, 6.426748171291138)
(150.86547585652568, 6.425181251013953)
(150.8703637977511, 6.424384725974392)
(150.88992594712488, 6.421141451416872)
(150.89472301815283, 6.420332749556792)
(150.90431741111968, 6.418688605394891)
(150.90889667174406, 6.417891691848126)
(150.91393252176852, 6.416987213089442)
(150.92356813965796, 6.415228275864308)
(150.92838122581304, 6.414336126810838)
(150.947277975798, 6.410780066247128)
(150.95199522929647, 6.4098792675142136)
(150.9614293864571, 6.408051614890155)
(150.96613932037337, 6.4071261252705085)
(151.0035733712142, 6.399665665238331)
(151.0082412375432, 6.398722401417729)
(151.01758105402246, 6.396809296112167)
(151.02224605691003, 6.395840863864805)
(151.04091391864245, 6.391913736729634)
(151.04557142658018, 6.390921020089081)
(151.0548856573473, 6.388909955230304)
(151.05953087874707, 6.387894130509778)
(151.13384286665507, 6.3714330234153636)
(151.13846101306535, 6.370397007116253)
(151.14771007895706, 6.368296529861027)
